"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"대화동255",1,대전광역시 대덕구 대화12길 4,,36.36734590,127.41857320,,,042-120,대전광역시,2022-12-15
"대화동257",1,대전광역시 대덕구 대화10길 72,,36.36650121,127.41788230,,,042-120,대전광역시,2022-12-15
"대화동258",1,대전광역시 대덕구 대화로 69,,36.36722791,127.41207410,,,042-120,대전광역시,2022-12-15
"대화동259",1,대전광역시 대덕구 대화로 71,,36.36718542,127.41185100,,,042-120,대전광역시,2022-12-15
"대화동260",1,대전광역시 대덕구 대화로 77,,36.36677531,127.41161270,,,042-120,대전광역시,2022-12-15
"대화동262",1,대전광역시 대덕구 동심5길 11,,36.36656837,127.41203940,,,042-120,대전광역시,2022-12-15
"대화동266",1,대전광역시 대덕구 대화로119번길 24,,36.36462563,127.40672540,,,042-120,대전광역시,2022-12-15
"대화동267",1,대전광역시 대덕구 대화로 135,,36.36538782,127.40519170,,,042-120,대전광역시,2022-12-15
"대화동268",1,대전광역시 대덕구 대화로 139,,36.36510136,127.40462870,,,042-120,대전광역시,2022-12-15
"대화동269",1,대전광역시 대덕구 대화로139번길 28,,36.36432650,127.40458450,,,042-120,대전광역시,2022-12-15
"대화동270",1,대전광역시 대덕구 대화로 201,,36.36295890,127.40518970,,,042-120,대전광역시,2022-12-15
"대화동273",1,대전광역시 대덕구 대화로161번길 13-1,,36.36468571,127.40389110,,,042-120,대전광역시,2022-12-15
"대화동274",1,대전광역시 대덕구 대화로161번길 7,,36.36472706,127.40338770,,,042-120,대전광역시,2022-12-15
"대화동275",1,대전광역시 대덕구 대화로161번길 15,,36.36432172,127.40386700,,,042-120,대전광역시,2022-12-15
"대화동276",1,대전광역시 대덕구 대화로161번길 8,,36.36395929,127.40337930,,,042-120,대전광역시,2022-12-15
"대화동278",1,대전광역시 대덕구 대화로 161번길 22-17,,36.36334215,127.40359890,,,042-120,대전광역시,2022-12-15
"대화동279",1,대전광역시 대덕구 대화로161번길 22-28,,36.36339789,127.40310450,,,042-120,대전광역시,2022-12-15
"대화동280",1,대전광역시 대덕구 대화로 171,,36.36362152,127.40306110,,,042-120,대전광역시,2022-12-15
"대화동281",1,대전광역시 대덕구 대화로161번길 23,,36.36399350,127.40392320,,,042-120,대전광역시,2022-12-15
"대화동282",1,대전광역시 대덕구 대화로161번길 29,,36.36375170,127.40400660,,,042-120,대전광역시,2022-12-15
"대화동283",1,대전광역시 대덕구 대화로161번길 42,,36.36317529,127.40390560,,,042-120,대전광역시,2022-12-15
"대화동284",1,대전광역시 대덕구 대화로161번길 50,,36.36281120,127.40391260,,,042-120,대전광역시,2022-12-15
"대화동285",1,대전광역시 대덕구 생산5길 22,,36.36457269,127.40955980,,,042-120,대전광역시,2022-12-15
"대화동287",1,대전광역시 대덕구 생산5길 11,,36.36611260,127.40935390,,,042-120,대전광역시,2022-12-15
"대화동288",1,대전광역시 대덕구 대화로 140,,36.36589452,127.40458820,,,042-120,대전광역시,2022-12-15
"대화동289",1,대전광역시 대덕구 대화로150번길 42-6,,36.36678395,127.40272980,,,042-120,대전광역시,2022-12-15
"대화동291",1,대전광역시 대덕구 대화로150번길 60,,36.36711238,127.40261110,,,042-120,대전광역시,2022-12-15
"대화동292",1,대전광역시 대덕구 대전로1331번길 353,,36.36808370,127.40211690,,,042-120,대전광역시,2022-12-15
"대화동294",1,대전광역시 대덕구 대화로150번길 42-11,,36.36727718,127.40291060,,,042-120,대전광역시,2022-12-15
